,init_value,est_value
ct_M15,0.9103599679852878,2.6062235834267136
degradD_byP5,0.009909527110307837,0.009909527110307837
degradP5,5527344.737115485,5527344.737115485
degradP5p,0.16138762883700505,0.16138762883700505
degradM2,0.11340918485415723,0.11340918485415723
degradP2,0.10318502178820262,0.10318502178820262
degradB2,0.08548786408821893,0.08548786408821893
degradK1,0.02455192828244995,0.02455192828244995
degradN2,0.311089218849487,0.3829765128491143
degradS1,0.04699074966476474,0.04699074966476474
